Training: 2021-04-24 22:03:54,921-rank_id: 0
Training: 2021-04-24 23:10:10,808-Speed 768.25 samples/sec   Loss 10.3927   Epoch: 0   Global Step: 5650   Required: 54 hours
Training: 2021-04-24 23:11:34,588-[lfw][5686]XNorm: 22.472735
Training: 2021-04-24 23:11:34,588-[lfw][5686]Accuracy-Flip: 0.99050+-0.00460
Training: 2021-04-24 23:11:34,588-[lfw][5686]Accuracy-Highest: 0.99050
Training: 2021-04-24 23:12:44,182-[cfp_fp][5686]XNorm: 19.242877
Training: 2021-04-24 23:12:44,182-[cfp_fp][5686]Accuracy-Flip: 0.84157+-0.01921
Training: 2021-04-24 23:12:44,182-[cfp_fp][5686]Accuracy-Highest: 0.84157
Training: 2021-04-24 23:13:44,343-[agedb_30][5686]XNorm: 21.666694
Training: 2021-04-24 23:13:44,343-[agedb_30][5686]Accuracy-Flip: 0.93383+-0.00989
Training: 2021-04-24 23:13:44,344-[agedb_30][5686]Accuracy-Highest: 0.93383
Training: 2021-04-24 23:14:44,722-[calfw][5686]XNorm: 22.390299
Training: 2021-04-24 23:14:44,722-[calfw][5686]Accuracy-Flip: 0.92900+-0.01243
Training: 2021-04-24 23:14:44,722-[calfw][5686]Accuracy-Highest: 0.92900
Training: 2021-04-24 23:14:53,961-Speed 90.41 samples/sec   Loss 10.4596   Epoch: 0   Global Step: 5700   Required: 57 hours
Training: 2021-04-24 23:15:26,990-Speed 775.08 samples/sec   Loss 10.3516   Epoch: 0   Global Step: 5750   Required: 57 hours
Training: 2021-04-24 23:16:00,174-Speed 771.48 samples/sec   Loss 10.2436   Epoch: 0   Global Step: 5800   Required: 57 hours
Training: 2021-04-24 23:16:33,582-Speed 766.28 samples/sec   Loss 10.3475   Epoch: 0   Global Step: 5850   Required: 57 hours
Training: 2021-04-24 23:17:07,286-Speed 759.58 samples/sec   Loss 10.3771   Epoch: 0   Global Step: 5900   Required: 57 hours
Training: 2021-04-24 23:17:40,670-Speed 766.84 samples/sec   Loss 10.2358   Epoch: 0   Global Step: 5950   Required: 57 hours
Training: 2021-04-24 23:18:14,690-Speed 752.52 samples/sec   Loss 10.2638   Epoch: 0   Global Step: 6000   Required: 57 hours
Training: 2021-04-24 23:18:48,019-Speed 768.10 samples/sec   Loss 10.2609   Epoch: 0   Global Step: 6050   Required: 57 hours
Training: 2021-04-24 23:19:21,731-Speed 759.38 samples/sec   Loss 10.2850   Epoch: 0   Global Step: 6100   Required: 57 hours
Training: 2021-04-24 23:19:55,066-Speed 767.97 samples/sec   Loss 10.1112   Epoch: 0   Global Step: 6150   Required: 57 hours
Training: 2021-04-24 23:20:28,415-Speed 767.65 samples/sec   Loss 10.1086   Epoch: 0   Global Step: 6200   Required: 57 hours
Training: 2021-04-24 23:21:02,137-Speed 759.16 samples/sec   Loss 10.1737   Epoch: 0   Global Step: 6250   Required: 57 hours
Training: 2021-04-24 23:21:35,479-Speed 767.82 samples/sec   Loss 10.0357   Epoch: 0   Global Step: 6300   Required: 57 hours
Training: 2021-04-24 23:22:08,833-Speed 767.53 samples/sec   Loss 9.9931   Epoch: 0   Global Step: 6350   Required: 57 hours
Training: 2021-04-24 23:22:42,175-Speed 767.81 samples/sec   Loss 10.0802   Epoch: 0   Global Step: 6400   Required: 57 hours
Training: 2021-04-24 23:23:15,515-Speed 767.85 samples/sec   Loss 9.9849   Epoch: 0   Global Step: 6450   Required: 57 hours
Training: 2021-04-24 23:23:49,118-Speed 761.87 samples/sec   Loss 9.9653   Epoch: 0   Global Step: 6500   Required: 57 hours
